index,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-3,3,6,0,-4,4,-10,-33,-45,9,-31,-27
1,-2,4,6,-1,-4,5,-11,-33,-44,9,-30,-26
2,-2,4,6,-1,-4,5,-13,-33,-44,9,-30,-26
3,-2,3,5,0,-3,4,-14,-34,-45,9,-28,-25
4,-2,2,4,0,-3,3,-16,-35,-45,9,-28,-26
5,-2,1,3,0,-2,2,-18,-36,-46,8,-27,-25
6,-2,0,2,1,-2,1,-19,-37,-47,8,-27,-25
7,-2,-1,1,1,-1,0,-21,-38,-47,7,-27,-24
8,-2,-2,0,2,-1,-1,-22,-39,-48,8,-26,-24
9,-3,-2,1,2,-2,0,-22,-41,-47,8,-25,-24
10,-3,-4,-1,3,-1,-2,-23,-41,-47,9,-25,-23
11,-3,-3,0,3,-1,-1,-23,-40,-48,8,-24,-22
12,-2,-1,1,1,-1,0,-23,-41,-47,9,-24,-22
13,-2,-1,1,1,-1,0,-23,-41,-47,9,-23,-22
14,-2,-2,0,2,-1,-1,-22,-40,-46,10,-22,-21
15,-2,-3,-1,2,0,-2,-22,-40,-46,9,-23,-22
16,-1,-4,-3,2,1,-3,-21,-39,-45,9,-22,-22
17,0,-4,-4,2,2,-4,-22,-38,-45,10,-22,-23
18,0,-5,-5,2,2,-5,-21,-38,-46,9,-23,-23
19,0,-8,-8,4,4,-8,-21,-37,-46,10,-22,-22
20,1,-11,-12,5,6,-11,-20,-37,-45,10,-22,-22
21,1,-12,-13,5,7,-12,-19,-35,-45,9,-21,-23
22,0,-12,-12,6,6,-12,-20,-35,-46,9,-22,-23
23,1,-11,-12,5,6,-11,-19,-34,-46,8,-21,-23
24,1,-12,-13,5,7,-12,-18,-34,-46,8,-21,-23
25,0,-14,-14,7,7,-14,-17,-33,-46,8,-21,-23
26,0,-13,-13,6,6,-13,-16,-33,-45,8,-20,-23
27,0,-13,-13,6,6,-13,-15,-33,-45,8,-20,-23
28,-1,-13,-12,7,5,-12,-15,-32,-45,7,-19,-23
29,-3,-13,-10,8,3,-11,-13,-32,-44,7,-19,-24
30,-5,-15,-10,10,2,-12,-11,-31,-44,8,-19,-24
31,-6,-17,-11,11,2,-14,-10,-31,-43,7,-20,-25
32,-7,-18,-11,12,2,-14,-9,-30,-43,7,-20,-25
33,-9,-20,-11,14,1,-15,-9,-30,-44,6,-21,-26
34,-11,-22,-11,16,0,-16,-8,-31,-44,4,-21,-27
35,-13,-23,-10,18,-1,-16,-8,-31,-45,2,-23,-29
36,-16,-25,-9,20,-3,-17,-7,-32,-46,1,-24,-30
37,-16,-27,-11,21,-2,-19,-7,-34,-48,-1,-25,-31
38,-16,-28,-12,22,-2,-20,-8,-34,-49,-2,-26,-32
39,-17,-28,-11,22,-3,-19,-8,-35,-51,-4,-28,-34
40,-17,-28,-11,22,-3,-19,-9,-37,-52,-6,-29,-35
41,-18,-30,-12,24,-3,-21,-9,-37,-54,-7,-30,-35
42,-18,-31,-13,24,-2,-22,-8,-38,-54,-7,-30,-36
43,-17,-30,-13,23,-2,-21,-8,-37,-55,-8,-31,-36
44,-16,-29,-13,22,-1,-21,-9,-38,-54,-8,-31,-37
45,-15,-31,-16,23,0,-23,-9,-38,-54,-7,-30,-36
46,-16,-32,-16,24,0,-24,-9,-39,-55,-8,-30,-36
47,-17,-32,-15,24,-1,-23,-8,-38,-54,-8,-29,-37
48,-18,-33,-15,25,-1,-24,-8,-37,-54,-7,-29,-36
49,-18,-33,-15,25,-1,-24,-9,-37,-53,-7,-29,-36
50,-18,-33,-15,25,-1,-24,-9,-36,-52,-6,-27,-35
51,-19,-33,-14,26,-2,-23,-8,-37,-52,-6,-27,-36
52,-21,-34,-13,27,-4,-23,-8,-36,-51,-7,-26,-35
53,-21,-34,-13,27,-4,-23,-7,-36,-51,-7,-26,-35
54,-20,-31,-11,25,-4,-21,-8,-35,-50,-6,-24,-34
55,-19,-30,-11,24,-4,-20,-8,-35,-50,-7,-24,-35
56,-19,-28,-9,23,-5,-18,-8,-35,-49,-7,-23,-35
57,-19,-28,-9,23,-5,-18,-8,-35,-49,-7,-23,-34
58,-19,-26,-7,22,-6,-16,-8,-35,-49,-7,-22,-34
59,-18,-26,-8,22,-5,-17,-8,-35,-49,-7,-21,-34
60,-18,-25,-7,21,-5,-16,-9,-35,-49,-7,-20,-33
61,-17,-25,-8,21,-4,-16,-10,-37,-49,-7,-19,-33
62,-18,-26,-8,22,-5,-17,-11,-38,-51,-7,-18,-32
63,-18,-27,-9,22,-4,-18,-11,-39,-52,-7,-16,-31
64,-18,-28,-10,23,-4,-19,-12,-41,-54,-8,-15,-31
65,-17,-29,-12,23,-2,-20,-13,-41,-54,-8,-15,-31
66,-18,-31,-13,24,-2,-22,-13,-41,-55,-9,-15,-31
67,-19,-32,-13,25,-3,-22,-12,-40,-54,-10,-16,-32
68,-20,-34,-14,27,-3,-24,-9,-36,-51,-10,-17,-34
69,-22,-37,-15,29,-3,-26,-3,-28,-44,-9,-19,-38
70,-24,-41,-17,32,-3,-29,7,-16,-33,-7,-24,-45
71,-27,-42,-15,34,-6,-28,19,-2,-18,-4,-28,-51
72,-31,-43,-12,37,-9,-27,33,17,2,3,-30,-57
73,-33,-44,-11,38,-11,-27,49,40,27,13,-30,-62
74,-33,-43,-10,38,-11,-26,65,66,57,27,-26,-64
75,-31,-41,-10,36,-10,-25,82,94,92,47,-18,-63
76,-24,-33,-9,28,-7,-21,96,124,131,74,-1,-55
77,-13,-15,-2,14,-5,-8,103,150,173,109,25,-37
78,3,14,11,-8,-4,12,101,167,210,151,65,-8
79,24,53,29,-38,-2,41,89,173,239,197,115,33
80,48,98,50,-73,-1,74,69,168,258,244,173,81
81,74,153,79,-113,-2,116,39,152,266,291,236,138
82,102,219,117,-160,-7,168,-1,121,261,336,303,201
83,128,290,162,-209,-17,226,-51,71,236,373,369,267
84,150,358,208,-254,-29,283,-108,5,190,398,427,328
85,165,415,250,-290,-42,332,-164,-71,127,408,470,377
86,172,454,282,-313,-55,368,-215,-147,57,404,494,409
87,173,474,301,-323,-64,387,-259,-218,-16,386,497,423
88,169,477,308,-323,-69,392,-298,-284,-91,353,481,420
89,157,461,304,-309,-73,382,-328,-344,-167,304,443,397
90,137,423,286,-280,-74,354,-346,-391,-236,243,387,356
91,113,367,254,-240,-70,310,-349,-417,-291,177,317,298
92,87,302,215,-194,-64,258,-341,-425,-331,107,240,232
93,63,237,174,-150,-55,205,-326,-422,-362,36,163,166
94,41,177,136,-109,-47,156,-307,-410,-384,-32,91,103
95,21,123,102,-72,-40,112,-283,-389,-394,-93,28,48
96,3,76,73,-39,-35,74,-254,-359,-390,-139,-20,2
97,-12,38,50,-13,-31,44,-221,-321,-373,-170,-53,-34
98,-21,13,34,4,-27,23,-190,-281,-348,-186,-71,-57
99,-25,-2,23,13,-24,10,-163,-243,-318,-191,-76,-70
100,-27,-11,16,19,-21,2,-139,-206,-283,-184,-69,-74
101,-26,-15,11,20,-18,-2,-116,-169,-240,-163,-52,-72
102,-24,-18,6,21,-15,-6,-94,-133,-193,-133,-29,-67
103,-22,-19,3,20,-12,-8,-74,-101,-148,-100,-5,-62
104,-19,-18,1,18,-10,-8,-58,-75,-109,-70,18,-55
105,-17,-18,-1,17,-8,-9,-47,-54,-76,-45,39,-48
106,-16,-17,-1,16,-7,-9,-35,-37,-49,-24,57,-43
107,-15,-18,-3,16,-6,-10,-24,-23,-26,-6,73,-39
108,-14,-20,-6,17,-4,-13,-13,-10,-8,7,86,-36
109,-14,-22,-8,18,-3,-15,-5,-2,3,15,96,-34
110,-14,-24,-10,19,-2,-17,2,4,10,19,102,-33
111,-15,-26,-11,20,-2,-18,8,8,14,19,108,-32
112,-15,-28,-13,21,-1,-20,12,12,16,19,112,-32
113,-14,-30,-16,22,1,-23,15,15,18,19,116,-32
114,-15,-32,-17,23,1,-24,18,17,19,18,120,-34
115,-15,-33,-18,24,1,-25,19,18,20,18,123,-35
116,-14,-33,-19,23,2,-26,19,19,21,18,126,-35
117,-15,-34,-19,24,2,-26,19,19,22,17,129,-37
118,-15,-34,-19,24,2,-26,19,20,23,17,133,-37
119,-15,-35,-20,25,2,-27,20,21,24,17,136,-38
120,-16,-36,-20,26,2,-28,20,22,25,17,140,-38
121,-16,-36,-20,26,2,-28,20,23,26,17,143,-37
122,-17,-37,-20,27,1,-28,22,24,29,19,147,-37
123,-16,-37,-21,26,2,-29,23,25,31,20,151,-35
124,-16,-39,-23,27,3,-31,24,27,32,20,156,-35
125,-17,-40,-23,28,3,-31,25,27,34,21,160,-34
126,-16,-39,-23,27,3,-31,25,29,35,22,164,-34
127,-16,-39,-23,27,3,-31,26,31,38,24,170,-33
128,-15,-39,-24,27,4,-31,26,31,39,25,175,-31
129,-13,-38,-25,25,6,-31,26,32,41,27,180,-31
130,-13,-38,-25,25,6,-31,26,33,41,27,186,-31
131,-12,-37,-25,24,6,-31,25,33,43,28,190,-30
132,-11,-35,-24,23,6,-29,25,34,44,28,195,-30
133,-10,-34,-24,22,7,-29,26,35,46,30,200,-29
134,-10,-34,-24,22,7,-29,26,35,47,30,205,-28
135,-10,-33,-23,21,6,-28,27,35,48,31,208,-28
136,-11,-32,-21,21,5,-26,27,36,49,31,211,-28
137,-11,-31,-20,21,4,-25,27,37,50,31,214,-28
138,-11,-32,-21,21,5,-26,28,39,52,32,218,-27
139,-12,-33,-21,22,4,-27,29,40,53,32,221,-27
140,-12,-33,-21,22,4,-27,29,41,54,33,225,-26
141,-12,-33,-21,22,4,-27,30,41,56,34,228,-26
142,-12,-33,-21,22,4,-27,30,42,57,34,232,-27
143,-11,-34,-23,22,6,-28,30,43,58,35,236,-26
144,-11,-34,-23,22,6,-28,31,44,60,37,239,-25
145,-11,-34,-23,22,6,-28,31,45,61,38,243,-25
146,-10,-34,-24,22,7,-29,30,44,63,39,246,-24
147,-10,-32,-22,21,6,-27,30,45,64,39,248,-24
148,-9,-30,-21,19,6,-25,29,45,64,39,251,-24
149,-8,-29,-21,18,6,-25,30,46,65,40,252,-23
150,-8,-27,-19,17,5,-23,30,46,67,40,254,-23
151,-7,-26,-19,16,6,-22,29,47,68,40,255,-22
152,-7,-24,-17,15,5,-20,30,47,70,41,257,-21
153,-6,-23,-17,14,5,-20,31,49,71,41,257,-20
154,-5,-22,-17,13,6,-19,31,50,73,42,259,-20
155,-4,-22,-18,13,7,-20,32,52,76,44,261,-18
156,-3,-22,-19,12,8,-20,32,53,78,45,263,-16
157,-3,-23,-20,13,8,-21,33,54,79,46,264,-16
158,-3,-24,-21,13,9,-22,34,56,82,48,264,-15
159,-2,-23,-21,12,9,-22,34,57,84,50,266,-14
160,0,-23,-23,11,11,-23,35,59,85,51,267,-13
161,0,-23,-23,11,11,-23,35,60,87,53,269,-12
162,0,-23,-23,11,11,-23,34,60,88,54,270,-11
163,1,-21,-22,10,11,-21,34,61,90,55,270,-11
164,2,-19,-21,8,11,-20,35,63,93,57,272,-9
165,3,-18,-21,7,12,-19,34,64,95,57,273,-8
166,4,-16,-20,6,12,-18,34,64,96,59,273,-8
167,3,-16,-19,6,11,-17,34,65,98,60,274,-7
168,3,-15,-18,6,10,-16,34,67,99,61,274,-7
169,4,-13,-17,4,10,-15,35,68,101,62,275,-7
170,4,-12,-16,4,10,-14,35,70,104,64,275,-6
171,5,-12,-17,3,11,-14,36,72,106,65,277,-6
172,5,-11,-16,3,10,-13,36,73,108,65,278,-6
173,5,-11,-16,3,10,-13,36,75,110,67,278,-5
174,5,-10,-15,2,10,-12,37,76,112,68,280,-4
175,6,-8,-14,1,10,-11,37,78,115,71,281,-3
176,7,-7,-14,0,10,-10,37,80,117,72,283,-1
177,7,-6,-13,0,10,-9,37,82,120,74,284,0
178,7,-6,-13,0,10,-9,36,83,122,76,286,0
179,8,-4,-12,-2,10,-8,36,85,124,78,287,2
180,9,-2,-11,-3,10,-6,36,87,127,81,289,4
181,11,-1,-12,-5,11,-6,36,88,130,83,292,5
182,12,0,-12,-6,12,-6,35,90,133,85,294,7
183,12,0,-12,-6,12,-6,35,91,135,88,295,7
184,13,2,-11,-7,12,-4,35,94,138,90,297,9
185,15,3,-12,-9,13,-4,35,96,142,92,298,10
186,16,4,-12,-10,14,-4,36,97,145,95,300,12
187,16,5,-11,-10,13,-3,36,100,148,97,301,13
188,17,5,-12,-11,14,-3,37,102,150,100,303,14
189,18,7,-11,-12,14,-2,36,105,153,103,304,16
190,19,8,-11,-13,15,-1,37,107,157,105,306,17
191,20,8,-12,-14,16,-2,37,108,160,108,307,18
192,20,10,-10,-15,15,0,38,111,163,111,309,20
193,21,11,-10,-16,15,0,38,113,165,113,310,22
194,23,13,-10,-18,16,1,37,114,169,116,312,23
195,23,16,-7,-19,15,4,37,116,171,119,313,25
196,25,18,-7,-21,16,5,36,117,174,121,314,26
197,25,21,-4,-23,14,8,36,119,175,124,314,29
198,26,24,-2,-25,14,11,35,120,177,126,316,30
199,28,28,0,-28,14,14,34,121,180,128,317,32
200,29,30,1,-29,14,15,34,122,182,130,318,33
201,30,33,3,-31,13,18,33,122,183,131,319,36
202,31,35,4,-33,13,19,33,123,185,134,320,38
203,32,37,5,-34,13,21,32,123,186,136,322,40
204,33,40,7,-36,13,23,31,124,188,138,323,42
205,34,42,8,-38,13,25,31,124,189,140,324,43
206,35,44,9,-39,13,26,30,125,190,141,324,45
207,37,46,9,-41,14,27,29,124,190,143,325,48
208,38,48,10,-43,14,29,27,124,191,145,326,50
209,39,51,12,-45,13,31,26,123,191,146,326,51
210,39,53,14,-46,12,33,25,123,191,148,327,53
211,40,54,14,-47,13,34,23,122,190,149,327,55
212,42,57,15,-49,13,36,21,120,190,150,328,57
213,43,59,16,-51,13,37,20,119,189,150,328,59
214,43,61,18,-52,12,39,18,118,189,151,328,60
215,44,63,19,-53,12,41,17,117,188,150,327,62
216,44,64,20,-54,12,42,15,115,186,151,328,64
217,45,66,21,-55,12,43,14,114,185,151,327,65
218,46,67,21,-56,12,44,12,112,183,150,327,67
219,46,68,22,-57,12,45,11,111,182,150,326,68
220,47,68,21,-57,13,44,9,109,180,149,326,68
221,47,69,22,-58,12,45,8,107,177,149,325,70
222,48,69,21,-58,13,45,8,104,175,148,324,71
223,47,70,23,-58,12,46,7,102,172,147,322,71
224,47,69,22,-58,12,45,5,98,168,145,321,72
225,47,70,23,-58,12,46,4,95,166,144,319,73
226,48,71,23,-59,12,47,2,93,163,142,318,73
227,47,71,24,-59,11,47,0,89,158,139,316,74
228,46,72,26,-59,10,49,-1,85,154,137,314,74
229,46,72,26,-59,10,49,-3,82,149,134,311,73
230,46,73,27,-59,9,50,-4,78,145,132,309,74
231,46,72,26,-59,10,49,-5,75,140,129,306,74
232,47,73,26,-60,10,49,-7,71,134,125,303,74
233,47,73,26,-60,10,49,-8,67,129,122,301,74
234,46,73,27,-59,9,50,-10,63,123,118,298,73
235,45,71,26,-58,9,48,-11,58,118,114,295,72
236,44,70,26,-57,9,48,-11,54,112,110,290,70
237,44,70,26,-57,9,48,-12,49,105,105,286,69
238,42,70,28,-56,7,49,-14,45,99,100,281,66
239,40,68,28,-54,6,48,-15,40,92,94,276,64
240,39,67,28,-53,5,47,-16,35,85,88,271,61
241,37,65,28,-51,4,46,-17,31,79,83,265,58
242,34,62,28,-48,3,45,-17,26,72,77,260,56
243,32,60,28,-46,2,44,-18,22,66,70,254,53
244,31,57,26,-44,2,41,-18,18,60,65,247,49
245,29,54,25,-41,2,39,-18,15,53,58,242,47
246,27,50,23,-38,2,36,-18,11,47,53,236,44
247,25,45,20,-35,2,32,-17,8,42,47,231,42
248,23,41,18,-32,2,29,-17,6,36,42,225,39
249,21,38,17,-29,2,27,-16,3,31,36,218,35
250,18,34,16,-26,1,25,-16,1,27,30,212,32
251,16,30,14,-23,1,22,-14,-2,21,25,207,30
252,13,26,13,-19,0,19,-13,-3,16,20,201,26
253,11,23,12,-17,0,17,-13,-6,12,14,195,23
254,8,21,13,-14,-2,17,-12,-8,7,9,188,19
255,7,19,12,-13,-2,15,-12,-11,3,3,182,15
256,5,17,12,-11,-3,14,-11,-12,-2,-3,177,12
257,3,15,12,-9,-4,13,-11,-14,-6,-8,170,8
258,2,12,10,-7,-4,11,-10,-16,-9,-12,164,5
259,0,9,9,-4,-4,9,-10,-17,-13,-17,159,1
260,-2,7,9,-2,-5,8,-9,-19,-16,-21,153,-2
261,-4,4,8,0,-6,6,-9,-20,-19,-25,148,-4
262,-5,2,7,1,-6,4,-8,-20,-22,-29,144,-7
263,-7,-1,6,4,-6,2,-6,-21,-23,-32,139,-9
264,-10,-3,7,6,-8,2,-5,-21,-25,-36,135,-11
265,-12,-7,5,9,-8,-1,-5,-22,-28,-39,131,-14
266,-13,-9,4,11,-8,-2,-3,-22,-29,-41,127,-16
267,-15,-11,4,13,-9,-3,-2,-23,-31,-44,124,-17
268,-16,-12,4,14,-10,-4,-2,-23,-32,-46,121,-19
269,-17,-13,4,15,-10,-4,-1,-22,-33,-47,118,-20
270,-18,-15,3,16,-10,-6,1,-22,-33,-49,116,-22
271,-18,-16,2,17,-10,-7,1,-21,-34,-50,113,-23
272,-18,-17,1,17,-9,-8,2,-21,-35,-52,110,-24
273,-18,-17,1,17,-9,-8,1,-22,-35,-53,108,-25
274,-18,-17,1,17,-9,-8,2,-21,-36,-54,106,-26
275,-18,-18,0,18,-9,-9,2,-21,-35,-55,103,-27
276,-19,-19,0,19,-9,-9,3,-22,-36,-55,101,-27
277,-19,-20,-1,19,-9,-10,2,-22,-36,-56,100,-28
278,-19,-20,-1,19,-9,-10,3,-21,-35,-56,97,-28
279,-19,-19,0,19,-9,-9,3,-21,-36,-57,96,-29
280,-20,-20,0,20,-10,-10,4,-20,-35,-57,94,-29
281,-20,-21,-1,20,-9,-11,4,-19,-35,-56,94,-29
282,-20,-23,-3,21,-8,-13,6,-19,-34,-56,92,-29
283,-20,-24,-4,22,-8,-14,6,-18,-33,-55,91,-28
284,-20,-24,-4,22,-8,-14,6,-18,-33,-56,89,-28
285,-20,-25,-5,22,-7,-15,7,-16,-32,-55,88,-29
286,-21,-26,-5,23,-8,-15,7,-16,-32,-55,88,-28
287,-21,-27,-6,24,-7,-16,8,-15,-32,-54,87,-28
288,-22,-28,-6,25,-8,-17,8,-15,-31,-55,85,-29
289,-22,-28,-6,25,-8,-17,7,-14,-31,-54,84,-29
290,-21,-27,-6,24,-7,-16,7,-14,-30,-54,83,-30
291,-21,-27,-6,24,-7,-16,6,-15,-30,-53,82,-29
292,-21,-27,-6,24,-7,-16,6,-14,-29,-53,82,-29
293,-20,-26,-6,23,-7,-16,7,-14,-29,-52,81,-28
294,-20,-26,-6,23,-7,-16,7,-15,-28,-52,80,-29
295,-19,-26,-7,22,-6,-16,6,-14,-28,-51,80,-28
296,-18,-25,-7,21,-5,-16,7,-14,-27,-51,79,-28
297,-19,-25,-6,22,-6,-15,6,-13,-26,-50,79,-27
298,-19,-25,-6,22,-6,-15,7,-12,-27,-49,78,-28
299,-19,-25,-6,22,-6,-15,7,-13,-27,-50,76,-28
300,-19,-26,-7,22,-6,-16,6,-12,-26,-50,75,-27
301,-19,-26,-7,22,-6,-16,7,-12,-26,-49,73,-27
302,-20,-26,-6,23,-7,-16,7,-11,-25,-50,72,-27
303,-20,-26,-6,23,-7,-16,6,-11,-25,-50,72,-27
304,-19,-25,-6,22,-6,-15,6,-11,-25,-49,71,-27
305,-20,-25,-5,22,-7,-15,5,-12,-26,-50,69,-27
306,-20,-25,-5,22,-7,-15,5,-12,-25,-49,69,-27
307,-19,-25,-6,22,-6,-15,6,-12,-24,-49,68,-26
308,-19,-25,-6,22,-6,-15,6,-11,-24,-47,69,-25
309,-18,-25,-7,21,-5,-16,5,-11,-23,-47,69,-25
310,-18,-24,-6,21,-6,-15,5,-11,-23,-47,68,-24
311,-18,-24,-6,21,-6,-15,5,-11,-24,-46,68,-24
312,-18,-24,-6,21,-6,-15,5,-11,-24,-45,67,-24
313,-18,-25,-7,21,-5,-16,6,-10,-23,-44,67,-22
314,-17,-24,-7,20,-5,-15,5,-10,-23,-45,66,-22
315,-16,-24,-8,20,-4,-16,5,-10,-23,-45,66,-21
316,-17,-23,-6,20,-5,-14,4,-11,-24,-46,65,-22
317,-17,-24,-7,20,-5,-15,5,-11,-25,-45,63,-22
318,-16,-24,-8,20,-4,-16,5,-10,-24,-45,63,-21
319,-16,-23,-7,19,-4,-15,4,-11,-25,-45,62,-21
320,-16,-23,-7,19,-4,-15,4,-12,-26,-46,60,-20
321,-16,-23,-7,19,-4,-15,3,-12,-26,-46,60,-21
322,-17,-24,-7,20,-5,-15,4,-12,-26,-47,59,-21
323,-17,-24,-7,20,-5,-15,3,-13,-27,-47,57,-20
324,-17,-23,-6,20,-5,-14,3,-13,-27,-48,57,-21
325,-17,-23,-6,20,-5,-14,2,-14,-28,-48,56,-21
326,-17,-23,-6,20,-5,-14,2,-15,-29,-49,54,-22
327,-17,-23,-6,20,-5,-14,2,-15,-30,-49,53,-21
328,-17,-22,-5,19,-6,-13,1,-16,-31,-51,52,-21
329,-17,-23,-6,20,-5,-14,1,-16,-32,-52,50,-22
330,-18,-23,-5,20,-6,-14,0,-17,-32,-52,49,-22
331,-18,-25,-7,21,-5,-16,0,-16,-33,-53,47,-22
332,-17,-25,-8,21,-4,-16,1,-17,-34,-54,46,-22
333,-17,-26,-9,21,-4,-17,1,-17,-34,-54,46,-21
334,-17,-26,-9,21,-4,-17,0,-18,-35,-54,45,-21
335,-18,-27,-9,22,-4,-18,0,-17,-36,-55,43,-22
336,-18,-27,-9,22,-4,-18,1,-18,-36,-55,42,-21
337,-18,-27,-9,22,-4,-18,1,-18,-37,-56,40,-21
338,-17,-26,-9,21,-4,-17,1,-19,-37,-56,39,-22
339,-17,-24,-7,20,-5,-15,0,-19,-38,-56,38,-22
340,-17,-24,-7,20,-5,-15,0,-20,-40,-57,36,-23
341,-17,-23,-6,20,-5,-14,-1,-20,-40,-58,35,-23
342,-16,-23,-7,19,-4,-15,-1,-21,-41,-58,33,-24
343,-16,-22,-6,19,-5,-14,-2,-22,-43,-59,32,-24
344,-17,-22,-5,19,-6,-13,-2,-22,-43,-60,30,-24
345,-17,-22,-5,19,-6,-13,-3,-23,-44,-60,30,-25
346,-16,-23,-7,19,-4,-15,-3,-23,-44,-60,29,-25
347,-17,-25,-8,21,-4,-16,-2,-23,-45,-61,27,-24
348,-18,-25,-7,21,-5,-16,-2,-24,-45,-61,27,-24
349,-18,-26,-8,22,-5,-17,-2,-23,-45,-62,26,-24
350,-18,-28,-10,23,-4,-19,-1,-23,-46,-62,24,-23
351,-18,-28,-10,23,-4,-19,-1,-24,-46,-63,23,-23
352,-17,-28,-11,22,-3,-19,-1,-23,-46,-63,23,-23
353,-17,-28,-11,22,-3,-19,-1,-24,-47,-63,21,-23
354,-17,-27,-10,22,-3,-18,-2,-24,-48,-65,19,-24
355,-17,-27,-10,22,-3,-18,-2,-25,-48,-65,18,-24
356,-17,-26,-9,21,-4,-17,-2,-25,-49,-66,16,-24
357,-17,-25,-8,21,-4,-16,-3,-26,-50,-66,15,-25
358,-18,-25,-7,21,-5,-16,-3,-26,-50,-68,13,-25
359,-17,-24,-7,20,-5,-15,-3,-26,-51,-68,13,-25
360,-18,-24,-6,21,-6,-15,-3,-27,-52,-69,11,-26
361,-18,-23,-5,20,-6,-14,-4,-27,-52,-69,10,-26
362,-18,-23,-5,20,-6,-14,-4,-28,-53,-70,8,-26
363,-18,-23,-5,20,-6,-14,-5,-28,-53,-69,8,-26
364,-18,-22,-4,20,-7,-13,-5,-27,-53,-69,7,-26
365,-18,-22,-4,20,-7,-13,-4,-28,-54,-68,7,-25
366,-18,-21,-3,19,-7,-12,-5,-28,-53,-69,5,-25
367,-18,-21,-3,19,-7,-12,-5,-27,-54,-68,4,-26
368,-17,-19,-2,18,-7,-10,-6,-28,-54,-69,4,-26
369,-18,-19,-1,18,-8,-10,-5,-27,-55,-69,2,-25
370,-17,-19,-2,18,-7,-10,-5,-27,-54,-70,1,-25
371,-18,-18,0,18,-9,-9,-6,-28,-55,-70,1,-26
372,-18,-18,0,18,-9,-9,-6,-28,-55,-70,0,-26
373,-18,-18,0,18,-9,-9,-6,-29,-56,-71,-2,-27
374,-18,-19,-1,18,-8,-10,-7,-29,-56,-71,-2,-26
375,-18,-19,-1,18,-8,-10,-7,-30,-56,-72,-3,-26
376,-18,-19,-1,18,-8,-10,-7,-30,-56,-72,-5,-27
377,-19,-19,0,19,-9,-9,-8,-29,-56,-71,-6,-26
378,-18,-19,-1,18,-8,-10,-8,-29,-57,-72,-6,-26
379,-18,-19,-1,18,-8,-10,-8,-30,-57,-72,-7,-27
380,-19,-20,-1,19,-9,-10,-8,-30,-56,-71,-7,-26
381,-19,-20,-1,19,-9,-10,-7,-29,-56,-71,-8,-26
382,-19,-19,0,19,-9,-9,-7,-29,-57,-70,-8,-25
383,-19,-19,0,19,-9,-9,-8,-30,-57,-70,-10,-26
384,-19,-18,1,18,-10,-8,-7,-30,-56,-71,-10,-25
385,-18,-18,0,18,-9,-9,-7,-30,-57,-70,-11,-25
386,-18,-17,1,17,-9,-8,-7,-29,-57,-70,-11,-25
387,-18,-18,0,18,-9,-9,-8,-29,-56,-71,-13,-26
388,-18,-18,0,18,-9,-9,-8,-30,-57,-71,-14,-26
389,-18,-18,0,18,-9,-9,-9,-30,-57,-72,-14,-25
390,-18,-18,0,18,-9,-9,-9,-30,-56,-72,-15,-26
391,-17,-19,-2,18,-7,-10,-8,-29,-57,-71,-15,-25
392,-17,-19,-2,18,-7,-10,-9,-29,-57,-72,-16,-26
393,-17,-19,-2,18,-7,-10,-9,-30,-56,-72,-16,-26
394,-18,-20,-2,19,-8,-11,-8,-30,-57,-71,-17,-27
395,-19,-20,-1,19,-9,-10,-8,-29,-57,-72,-17,-27
396,-18,-20,-2,19,-8,-11,-9,-29,-56,-72,-16,-27
397,-18,-19,-1,18,-8,-10,-9,-30,-56,-71,-16,-26
398,-17,-19,-2,18,-7,-10,-9,-30,-55,-71,-17,-26
399,-17,-19,-2,18,-7,-10,-9,-29,-55,-71,-17,-25
400,-18,-20,-2,19,-8,-11,-9,-29,-56,-71,-18,-25
401,-17,-20,-3,18,-7,-11,-9,-30,-55,-71,-18,-26
402,-16,-21,-5,18,-5,-13,-9,-29,-55,-70,-17,-25
403,-16,-20,-4,18,-6,-12,-9,-29,-56,-70,-17,-25
404,-16,-21,-5,18,-5,-13,-9,-29,-56,-71,-18,-24
405,-17,-21,-4,19,-6,-12,-9,-29,-55,-70,-18,-25
406,-17,-22,-5,19,-6,-13,-9,-29,-55,-70,-19,-25
407,-16,-23,-7,19,-4,-15,-10,-29,-56,-71,-18,-24
408,-17,-22,-5,19,-6,-13,-10,-29,-56,-71,-18,-24
409,-17,-22,-5,19,-6,-13,-9,-29,-55,-71,-19,-23
410,-19,-22,-3,20,-8,-12,-9,-28,-56,-70,-19,-23
411,-19,-23,-4,21,-7,-13,-9,-28,-56,-70,-19,-23
412,-20,-24,-4,22,-8,-14,-8,-28,-55,-68,-18,-22
413,-20,-25,-5,22,-7,-15,-8,-28,-55,-68,-19,-22
414,-20,-25,-5,22,-7,-15,-8,-27,-54,-68,-18,-22
415,-19,-26,-7,22,-6,-16,-7,-27,-54,-67,-18,-21
416,-19,-26,-7,22,-6,-16,-7,-27,-53,-67,-17,-21
417,-18,-26,-8,22,-5,-17,-6,-26,-53,-66,-17,-20
418,-18,-27,-9,22,-4,-18,-6,-26,-52,-66,-17,-20
419,-18,-28,-10,23,-4,-19,-7,-25,-52,-67,-18,-21
420,-17,-27,-10,22,-3,-18,-7,-25,-51,-66,-18,-20
421,-17,-26,-9,21,-4,-17,-6,-26,-52,-66,-19,-21
